                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.8381,                 45.904,                 4.3159,                      0,                      0,                      0,                      0,                  6.961,                 15.645,                 4.1605,                  2e-05,                  2e-05,                  2e-05
                      2,                 6.4915,                 25.563,                 4.2798,                      0,                      0,                      0,                      0,                  6.961,                 15.639,                  4.162,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 6.4764,                 24.675,                  4.548,                      0,                      0,                      0,                      0,                  6.961,                 15.639,                 4.1637,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 6.4637,                 22.975,                 4.4807,                      0,                      0,                      0,                      0,                  6.961,                 15.639,                 4.1651,             0.00013168,             0.00013168,             0.00013168
                      5,                 6.3853,                 26.654,                 4.4761,                      0,                      0,                      0,                      0,                  6.961,                 15.639,                 4.1669,             0.00016574,             0.00016574,             0.00016574
                      6,                 6.2845,                 19.406,                 4.3462,                      0,                      0,                      0,                      0,                 6.9632,                  15.73,                 4.1691,             0.00019822,             0.00019822,             0.00019822
                      7,                 6.6822,                 18.289,                 4.1672,                      0,                      0,                      0,                      0,                 6.9655,                 15.865,                 4.1731,             0.00022911,             0.00022911,             0.00022911
                      8,                 6.0066,                 17.607,                 4.2684,                      0,                      0,                      0,                      0,                 6.9657,                   15.9,                 4.1776,             0.00025842,             0.00025842,             0.00025842
                      9,                 6.1597,                  14.31,                 3.9857,                      0,                      0,                      0,                      0,                 6.9661,                 15.901,                 4.1807,             0.00028614,             0.00028614,             0.00028614
                     10,                  5.892,                 12.245,                 3.8807,                      0,                      0,                      0,                      0,                 6.9682,                  16.01,                  4.187,             0.00031228,             0.00031228,             0.00031228
                     11,                 5.5411,                 14.519,                 3.9295,                      0,                      0,                      0,                      0,                 6.9706,                  16.15,                 4.1941,             0.00033684,             0.00033684,             0.00033684
