                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6426,                 2.9503,                 1.4376,                0.40129,                0.55485,                0.36268,                0.12254,                 1.9315,                 2.4701,                 1.1076,             0.00066032,             0.00066032,             0.00066032
                      2,                 1.7425,                 1.4776,                 1.0642,                0.72103,                0.82191,                0.79405,                0.34667,                 1.5585,                 1.3223,                 1.0301,              0.0013204,              0.0013204,              0.0013204
                      3,                 1.6699,                  1.283,                 1.0563,                0.54113,                0.68238,                0.53212,                0.21581,                 1.7219,                 1.5192,                 1.0706,              0.0019739,              0.0019739,              0.0019739
                      4,                  1.649,                 1.2135,                 1.0471,                0.57627,                0.81502,                0.62302,                0.27765,                 1.5123,                 1.2382,                 1.0182,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.5859,                   1.16,                 1.0366,                 0.5238,                0.71804,                0.56813,                0.22766,                 1.7348,                 1.4383,                 1.0936,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.5425,                 1.1157,                 1.0174,                0.81261,                 0.8257,                0.84796,                  0.416,                 1.4487,                 1.0699,                 1.0074,              0.0019505,              0.0019505,              0.0019505
                      7,                  1.522,                 1.0915,                 1.0151,                0.84106,                0.82155,                0.86031,                0.39511,                 1.5666,                 1.0759,                 1.0399,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.5098,                 1.0777,                 1.0081,                0.89767,                0.91261,                0.90523,                0.47547,                 1.3434,                 1.0033,                0.98227,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.4795,                 1.0606,                 1.0105,                0.85051,                0.84474,                0.86999,                0.41119,                 1.4191,                 1.0828,                0.99544,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.4699,                 1.0277,                0.99595,                0.91565,                0.87058,                0.91631,                0.46037,                 1.3719,                 1.0289,                0.98763,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.4722,                 1.0409,                 1.0028,                0.78302,                0.82457,                0.79107,                0.36509,                 1.4397,                 1.2187,                 1.0337,               0.001901,               0.001901,               0.001901
                     12,                 1.4585,                 1.0158,                0.99585,                0.80745,                0.85828,                0.82873,                0.38305,                 1.4804,                 1.1135,                 1.0043,              0.0018911,              0.0018911,              0.0018911
