                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6426,                 2.9503,                 1.4376,                0.40129,                0.55485,                0.36268,                0.12254,                 1.9315,                 2.4701,                 1.1076,             0.00066032,             0.00066032,             0.00066032
                      2,                 1.7384,                 1.4819,                 1.0634,                0.64126,                 0.7849,                 0.7011,                0.29426,                 1.6094,                 1.4808,                 1.0476,              0.0013138,              0.0013138,              0.0013138
                      3,                 1.6666,                 1.2943,                 1.0555,                0.56497,                0.69243,                0.57866,                0.22964,                 1.8043,                 1.4389,                 1.0968,              0.0019542,              0.0019542,              0.0019542
                      4,                 1.6265,                 1.2324,                 1.0381,                0.63666,                0.83069,                0.71689,                0.33741,                 1.4649,                 1.2113,                 1.0138,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5858,                 1.1446,                 1.0313,                 0.8172,                 0.8633,                0.86468,                0.41681,                  1.521,                 1.0922,                 1.0223,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5229,                 1.0902,                 1.0165,                0.82517,                0.84678,                 0.8297,                0.39902,                  1.446,                 1.0628,                 1.0193,               0.001901,               0.001901,               0.001901
                      7,                 1.5015,                   1.08,                 1.0143,                0.86063,                0.83275,                0.89294,                0.43522,                 1.3924,                 1.0775,                0.99049,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5097,                 1.0612,                 1.0077,                0.81035,                0.78966,                0.77329,                0.33171,                 1.6203,                 1.2407,                 1.0575,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4796,                 1.0467,                 1.0091,                0.89099,                0.88803,                 0.9079,                  0.462,                 1.3735,                 0.9869,                0.99038,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4436,                 1.0121,                0.99191,                0.84042,                0.86423,                0.89433,                0.45029,                 1.4266,                 1.0158,                 1.0063,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4644,                0.99726,                0.99703,                0.90093,                0.86568,                0.88925,                0.45609,                 1.3417,                0.99507,                0.98706,               0.001802,               0.001802,               0.001802
                     12,                 1.4562,                 1.0071,                0.99446,                0.84476,                 0.8597,                0.84748,                0.40234,                 1.4286,                 1.0672,                 1.0011,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4417,                 1.0021,                 0.9931,                 0.9026,                 0.8801,                0.90218,                0.47561,                 1.3796,                0.95394,                0.98911,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4176,                0.98553,                0.98479,                0.91388,                0.90934,                0.92575,                0.49093,                 1.3117,                0.94257,                0.97311,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4369,                 1.0233,                0.98699,                0.85197,                0.83092,                0.88916,                0.46341,                 1.3526,                 1.0139,                0.97737,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3984,                0.99178,                0.97469,                0.92249,                0.92256,                0.93437,                0.50402,                 1.2786,                0.95537,                0.95963,               0.001703,               0.001703,               0.001703
                     17,                 1.4032,                0.96553,                0.98347,                0.94142,                0.93605,                0.94586,                0.50767,                 1.3275,                0.91246,                 0.9807,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.396,                0.95921,                0.97406,                0.94768,                0.94022,                0.94976,                0.49892,                 1.3568,                0.92159,                0.98852,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3825,                0.95537,                0.97357,                0.83736,                0.80712,                 0.8174,                0.38263,                 1.4284,                 1.0579,                 1.0084,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3798,                0.96014,                0.97574,                0.90845,                 0.9039,                0.93139,                0.47535,                 1.3183,                0.99716,                0.96735,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3778,                0.94476,                0.96864,                0.94087,                0.92702,                0.93934,                0.50171,                 1.2906,                 0.9225,                0.96368,               0.001604,               0.001604,               0.001604
                     22,                 1.3715,                0.93875,                0.97231,                0.91427,                0.92158,                0.93437,                0.52766,                 1.2569,                0.88997,                0.95415,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3451,                0.92046,                0.96481,                0.94208,                0.92792,                0.93677,                0.50543,                 1.3199,                0.87424,                 0.9812,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3658,                0.89886,                0.96336,                0.88032,                0.88195,                0.86601,                0.40904,                 1.4453,                0.97179,                  1.015,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.3557,                0.91381,                0.97054,                 0.9194,                0.90749,                0.90951,                0.45667,                 1.3624,                0.98198,                0.97227,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3531,                 0.8926,                0.96592,                0.91543,                0.91591,                0.92683,                0.52014,                 1.2611,                0.86893,                0.96241,               0.001505,               0.001505,               0.001505
                     27,                 1.3312,                0.87535,                0.95819,                0.94389,                0.92279,                0.94461,                0.52968,                 1.2559,                0.88554,                0.95603,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.3434,                0.90026,                0.96648,                0.93396,                0.92384,                0.93232,                0.51498,                 1.3048,                 0.8573,                0.96939,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3257,                0.86191,                0.95772,                0.94509,                0.93926,                0.95464,                 0.5448,                 1.2499,                0.82208,                0.95603,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3253,                0.88685,                 0.9597,                0.95636,                 0.9437,                0.95688,                0.56519,                 1.2542,                0.82923,                0.95654,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3179,                0.86492,                0.95412,                0.93526,                0.93979,                0.95007,                0.53544,                 1.2266,                0.88122,                0.94486,               0.001406,               0.001406,               0.001406
                     32,                 1.3094,                0.86423,                0.95489,                0.96016,                0.93957,                0.95365,                0.54814,                 1.2352,                0.80904,                0.95598,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.3126,                0.84964,                 0.9532,                0.95843,                 0.9459,                0.95799,                0.54953,                 1.2308,                0.80749,                0.95054,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3029,                0.85125,                 0.9542,                0.95428,                0.94719,                0.96184,                0.58761,                 1.1747,                 0.7953,                 0.9369,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2954,                0.83806,                0.94916,                0.94448,                0.94461,                0.95085,                0.56448,                 1.2051,                0.81078,                0.94432,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2957,                0.83068,                0.95077,                0.94375,                0.92782,                0.94807,                0.55402,                 1.2104,                0.79969,                0.94525,               0.001307,               0.001307,               0.001307
                     37,                 1.3003,                0.82435,                0.94587,                0.94907,                0.94198,                0.94879,                0.55059,                  1.229,                0.83558,                0.94823,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2745,                0.80068,                0.94341,                0.95756,                0.94606,                 0.9651,                0.58879,                 1.2376,                0.77368,                0.95269,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2789,                0.83227,                0.95053,                0.96148,                0.95042,                0.96757,                0.59869,                  1.187,                0.76361,                0.94229,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2673,                0.81116,                0.94596,                0.96358,                0.95331,                0.96793,                0.59855,                 1.1671,                0.73626,                0.93475,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2515,                0.80989,                0.94772,                0.96548,                0.95091,                0.96581,                0.59325,                 1.1966,                 0.7263,                0.94332,               0.001208,               0.001208,               0.001208
                     42,                 1.2718,                  0.783,                0.94121,                0.95133,                0.93033,                0.95431,                0.53236,                 1.3466,                 0.8338,                0.97581,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.275,                0.78269,                 0.9437,                0.96307,                0.95399,                0.96763,                 0.6064,                 1.1537,                0.73504,                0.92934,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2536,                0.77421,                0.93468,                0.95542,                0.93262,                0.96497,                0.59307,                 1.1651,                0.77187,                0.92913,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2622,                0.76655,                0.94183,                0.95565,                 0.9549,                0.96095,                0.58921,                 1.1732,                0.70341,                0.93764,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2545,                0.78233,                0.93915,                0.96779,                0.95348,                0.97341,                0.57392,                  1.256,                0.75602,                0.95528,               0.001109,               0.001109,               0.001109
                     47,                  1.244,                0.77306,                0.93834,                0.96414,                0.95444,                0.97144,                0.61878,                 1.1421,                0.71154,                0.92807,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2388,                0.76691,                0.94136,                0.96497,                0.95036,                0.97107,                0.62331,                 1.1369,                 0.6858,                0.92596,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2343,                0.75398,                0.94072,                 0.9645,                0.95457,                 0.9708,                0.57897,                 1.2324,                0.75477,                0.94797,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2455,                0.76317,                0.94189,                0.96343,                0.94944,                0.97058,                 0.6137,                 1.1508,                0.70146,                0.93172,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2348,                0.74381,                0.93574,                 0.9671,                0.95288,                0.97466,                0.58826,                 1.2232,                 0.7312,                0.94655,                0.00101,                0.00101,                0.00101
                     52,                 1.2241,                0.73959,                 0.9365,                0.96657,                0.95665,                 0.9739,                0.59023,                 1.1805,                0.72677,                0.93619,              0.0009902,              0.0009902,              0.0009902
