                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4247,                 4.3443,                 1.9002,                0.00342,                0.54375,                0.00611,                0.00339,                 1.0742,                 3.5434,                 1.0588,             0.00023338,             0.00023338,             0.00023338
                      2,                0.82555,                 1.8233,                0.92429,                0.00313,                0.49375,                0.00306,                0.00172,                 1.4463,                 3.7574,                 1.2247,              0.0004595,              0.0004595,              0.0004595
                      3,                0.71413,                 1.2062,                0.88189,                0.00496,                   0.75,                0.24036,                0.16847,                 1.3506,                 3.3641,                 1.0313,             0.00066087,             0.00066087,             0.00066087
                      4,                0.64736,                 1.0448,                0.87647,                      1,                0.13785,                0.97049,                0.79625,                0.73307,                 2.8006,                0.87961,             0.00083748,             0.00083748,             0.00083748
                      5,                0.57913,                0.93666,                0.85467,                0.99232,                      1,                  0.995,                0.73557,                 1.0071,                  1.413,                0.91736,             0.00098933,             0.00098933,             0.00098933
                      6,                0.64626,                0.96249,                0.86504,                0.99201,                      1,                  0.995,                0.78656,                0.75618,                 1.3815,                0.86193,              0.0011164,              0.0011164,              0.0011164
                      7,                0.59939,                0.86053,                0.84954,                0.99517,                      1,                  0.995,                0.79438,                0.87941,                0.97113,                0.87168,              0.0011719,              0.0011719,              0.0011719
                      8,                0.55172,                0.78358,                0.85106,                0.99812,                      1,                  0.995,                0.77572,                0.91297,                 0.9871,                0.87802,              0.0010894,              0.0010894,              0.0010894
                      9,                0.49414,                0.71619,                0.83278,                0.99808,                      1,                  0.995,                0.84128,                0.68584,                0.67943,                0.89372,              0.0010069,              0.0010069,              0.0010069
                     10,                0.51018,                0.69041,                0.82627,                0.99897,                      1,                  0.995,                0.85246,                0.69209,                0.65728,                0.88238,             0.00092435,             0.00092435,             0.00092435
                     11,                0.40692,                0.69428,                0.82013,                0.99803,                      1,                  0.995,                0.79445,                0.84097,                0.71771,                0.90022,             0.00084184,             0.00084184,             0.00084184
                     12,                0.36883,                0.64839,                0.82291,                0.99864,                      1,                  0.995,                 0.8047,                0.69858,                0.64985,                 0.8843,             0.00075932,             0.00075932,             0.00075932
                     13,                0.34752,                 0.6189,                 0.8162,                0.99864,                      1,                  0.995,                 0.8055,                0.81978,                0.73232,                0.88098,              0.0006768,              0.0006768,              0.0006768
                     14,                0.34166,                 0.5896,                0.82067,                0.99842,                      1,                  0.995,                0.82564,                0.72206,                0.66273,                0.87342,             0.00059429,             0.00059429,             0.00059429
                     15,                0.34684,                0.56571,                0.81054,                0.99908,                      1,                  0.995,                0.77869,                0.70351,                0.61072,                0.91038,             0.00051177,             0.00051177,             0.00051177
                     16,                0.31657,                0.53399,                0.81201,                 0.9993,                      1,                  0.995,                0.82643,                0.69535,                0.61935,                 0.8776,             0.00042925,             0.00042925,             0.00042925
                     17,                0.28219,                0.51429,                0.81154,                0.99926,                      1,                  0.995,                0.79509,                0.68155,                0.60923,                0.87728,             0.00034674,             0.00034674,             0.00034674
                     18,                 0.2711,                0.50532,                0.79683,                0.99926,                      1,                  0.995,                0.74687,                0.72087,                0.59336,                0.87966,             0.00026422,             0.00026422,             0.00026422
                     19,                0.23683,                0.47427,                0.80033,                0.99926,                      1,                  0.995,                0.78511,                0.66484,                0.59878,                0.87008,              0.0001817,              0.0001817,              0.0001817
                     20,                0.22708,                0.45886,                0.80066,                0.99929,                      1,                  0.995,                0.80845,                0.65949,                0.57977,                0.87726,             9.9187e-05,             9.9187e-05,             9.9187e-05
