                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.8381,                 45.904,                 4.3159,                      0,                      0,                      0,                      0,                  6.961,                 15.645,                 4.1605,                  2e-05,                  2e-05,                  2e-05
                      2,                 6.4915,                 25.563,                 4.2798,                      0,                      0,                      0,                      0,                  6.961,                 15.639,                  4.162,              5.703e-05,              5.703e-05,              5.703e-05
                      3,                 6.4764,                 24.675,                  4.548,                      0,                      0,                      0,                      0,                  6.961,                 15.639,                 4.1637,               9.01e-05,               9.01e-05,               9.01e-05
                      4,                 6.4637,                 22.975,                 4.4807,                      0,                      0,                      0,                      0,                  6.961,                 15.639,                 4.1651,             0.00011921,             0.00011921,             0.00011921
                      5,                  6.382,                 27.634,                 4.4443,                      0,                      0,                      0,                      0,                  6.961,                 15.642,                 4.1668,             0.00014436,             0.00014436,             0.00014436
                      6,                 6.3475,                 19.717,                 4.3898,                      0,                      0,                      0,                      0,                 6.9632,                  15.73,                 4.1686,             0.00016555,             0.00016555,             0.00016555
                      7,                 6.7202,                  19.53,                 4.2091,                      0,                      0,                      0,                      0,                 6.9632,                  15.73,                 4.1719,             0.00018278,             0.00018278,             0.00018278
                      8,                 6.1093,                 18.157,                 4.2211,                      0,                      0,                      0,                      0,                 6.9661,                 15.895,                 4.1767,             0.00019605,             0.00019605,             0.00019605
                      9,                 6.3356,                 15.839,                 4.1858,                      0,                      0,                      0,                      0,                 6.9661,                 15.895,                 4.1783,             0.00020536,             0.00020536,             0.00020536
                     10,                 6.1927,                 13.064,                 3.9297,                      0,                      0,                      0,                      0,                 6.9682,                 15.998,                 4.1834,             0.00021071,             0.00021071,             0.00021071
                     11,                 5.6931,                 17.087,                 4.0991,                      0,                      0,                      0,                      0,                 6.9682,                 16.004,                 4.1885,              0.0002121,              0.0002121,              0.0002121
                     12,                 4.8235,                 14.166,                 4.0769,                      0,                      0,                      0,                      0,                 6.9706,                  16.15,                  4.194,             0.00020953,             0.00020953,             0.00020953
                     13,                  5.233,                 10.866,                 4.1135,                      0,                      0,                      0,                      0,                 6.9723,                 16.248,                 4.2009,               0.000203,               0.000203,               0.000203
                     14,                 5.0613,                 11.012,                 3.9406,                      0,                      0,                      0,                      0,                 6.9729,                 16.294,                 4.2079,             0.00019251,             0.00019251,             0.00019251
                     15,                 4.7889,                 12.526,                 3.9329,                      0,                      0,                      0,                      0,                 6.9754,                 16.418,                 4.2161,             0.00017806,             0.00017806,             0.00017806
                     16,                 4.7082,                 10.758,                 3.8504,                      0,                      0,                      0,                      0,                 6.9777,                 16.578,                 4.2232,             0.00015965,             0.00015965,             0.00015965
                     17,                 5.0545,                 11.078,                  3.763,                      0,                      0,                      0,                      0,                 6.9786,                 16.602,                 4.2309,             0.00013728,             0.00013728,             0.00013728
                     18,                  4.768,                 11.849,                  3.824,                      0,                      0,                      0,                      0,                 6.9817,                 16.839,                 4.2378,             0.00011095,             0.00011095,             0.00011095
                     19,                 4.6947,                 10.631,                 3.7306,                      0,                      0,                      0,                      0,                 6.9844,                 16.845,                 4.2454,              8.066e-05,              8.066e-05,              8.066e-05
                     20,                  4.757,                 10.625,                 3.8056,                      0,                      0,                      0,                      0,                 6.9844,                 16.822,                 4.2527,              4.641e-05,              4.641e-05,              4.641e-05
